xx|e
x|a
U|you
)|'.'
%|Zz
^O^|n
(;(|:
?| 
\ |?
(|
123|ou
@|or
YZ|gh
Rules might not even be used!|(Like this).
Z|zz
*^|ion
*|st
~~|*
:-p|ff
:-O|tt
$$|I
$|i
zzzzz|Rules can be pretty complex
   | Spaces! Watch out for them.
&|x
*|Redefining rules can be tricky. you should watch out.
#g|G
'#|')
G#|g
#|(
. you|. You
aaaa|ally
nut|peanut
q|asd
w|fr
e|a
r|a
t|$
y|F$
u|}{
i|SDf
o|%
p|F
a|H56
s|a
d|a
f|  
g|SG%
h|  SF
j|S$fs
k|HOJ
l|hg
;|"G
[|
]|SF
'| 
/|s
.|Z
,|t5
m|,
n|a
b|SF
v|f
c|q
x|c
z|a
1|8
2|6
3|3
4|mx
5|drg
6|5
7|a
8|DF
9|H
0|%H
-|+
=|_
~|a
!|09
#|ghj
$| 
%a|  23
^| !
&| 
*|a
(|
)|
_| jkug
+|qw
}|
{|m
"|a
:|d
?|z
>|=-
<|/*
Q|-
W|
E|h
R|tr
T|a
Y|T
U|
I|a
O|a
P|a
A|a
S|a
D|AS
F|R%
G|d
H|C
J|a
K|Xwa
L|$
Z|6%
X|^$
C|gsD
V|@Q
B|ff
N|dfh
M|A2
<|>>
>|a
a|j!
t|G
g|5
5|gRF
7|234
aa|Fg
'.'|gh
aaaa|4a
aaa|3a
aa|2a
 |w
   |*W
8901237458912734431578023495702938475908234758927034985702394523894752389475|-1




